purchase_date,year,quarter,month,month_name,week,day_of_week,is_weekend
2017-03-30,2017,1,3,March,13,Thursday,False
2017-03-31,2017,1,3,March,13,Friday,False
2017-04-01,2017,2,4,April,13,Saturday,True
2017-04-02,2017,2,4,April,13,Sunday,True
2017-04-03,2017,2,4,April,14,Monday,False
2017-04-04,2017,2,4,April,14,Tuesday,False
2017-04-05,2017,2,4,April,14,Wednesday,False
2017-04-06,2017,2,4,April,14,Thursday,False
2017-04-07,2017,2,4,April,14,Friday,False
2017-04-08,2017,2,4,April,14,Saturday,True
2017-04-09,2017,2,4,April,14,Sunday,True
2017-04-10,2017,2,4,April,15,Monday,False
2017-04-11,2017,2,4,April,15,Tuesday,False
2017-04-12,2017,2,4,April,15,Wednesday,False
2017-04-13,2017,2,4,April,15,Thursday,False
2017-04-14,2017,2,4,April,15,Friday,False
2017-04-15,2017,2,4,April,15,Saturday,True
2017-04-16,2017,2,4,April,15,Sunday,True
2017-04-17,2017,2,4,April,16,Monday,False
2017-04-18,2017,2,4,April,16,Tuesday,False
2017-04-19,2017,2,4,April,16,Wednesday,False
2017-04-20,2017,2,4,April,16,Thursday,False
2017-04-21,2017,2,4,April,16,Friday,False
2017-04-22,2017,2,4,April,16,Saturday,True
2017-04-23,2017,2,4,April,16,Sunday,True
2017-04-24,2017,2,4,April,17,Monday,False
2017-04-25,2017,2,4,April,17,Tuesday,False
2017-04-26,2017,2,4,April,17,Wednesday,False
2017-04-27,2017,2,4,April,17,Thursday,False
2017-04-28,2017,2,4,April,17,Friday,False
2017-04-29,2017,2,4,April,17,Saturday,True
2017-04-30,2017,2,4,April,17,Sunday,True
2017-05-01,2017,2,5,May,18,Monday,False
2017-05-02,2017,2,5,May,18,Tuesday,False
2017-05-03,2017,2,5,May,18,Wednesday,False
2017-05-04,2017,2,5,May,18,Thursday,False
2017-05-05,2017,2,5,May,18,Friday,False
2017-05-06,2017,2,5,May,18,Saturday,True
2017-05-07,2017,2,5,May,18,Sunday,True
2017-05-08,2017,2,5,May,19,Monday,False
2017-05-09,2017,2,5,May,19,Tuesday,False
2017-05-10,2017,2,5,May,19,Wednesday,False
2017-05-11,2017,2,5,May,19,Thursday,False
2017-05-12,2017,2,5,May,19,Friday,False
2017-05-13,2017,2,5,May,19,Saturday,True
2017-05-14,2017,2,5,May,19,Sunday,True
2017-05-15,2017,2,5,May,20,Monday,False
2017-05-16,2017,2,5,May,20,Tuesday,False
2017-05-17,2017,2,5,May,20,Wednesday,False
2017-05-18,2017,2,5,May,20,Thursday,False
2017-05-19,2017,2,5,May,20,Friday,False
2017-05-20,2017,2,5,May,20,Saturday,True
2017-05-21,2017,2,5,May,20,Sunday,True
2017-05-22,2017,2,5,May,21,Monday,False
2017-05-23,2017,2,5,May,21,Tuesday,False
2017-05-24,2017,2,5,May,21,Wednesday,False
2017-05-25,2017,2,5,May,21,Thursday,False
2017-05-26,2017,2,5,May,21,Friday,False
2017-05-27,2017,2,5,May,21,Saturday,True
2017-05-28,2017,2,5,May,21,Sunday,True
2017-05-29,2017,2,5,May,22,Monday,False
2017-05-30,2017,2,5,May,22,Tuesday,False
2017-05-31,2017,2,5,May,22,Wednesday,False
2017-06-01,2017,2,6,June,22,Thursday,False
2017-06-02,2017,2,6,June,22,Friday,False
2017-06-03,2017,2,6,June,22,Saturday,True
2017-06-04,2017,2,6,June,22,Sunday,True
2017-06-05,2017,2,6,June,23,Monday,False
2017-06-06,2017,2,6,June,23,Tuesday,False
2017-06-07,2017,2,6,June,23,Wednesday,False
2017-06-08,2017,2,6,June,23,Thursday,False
2017-06-09,2017,2,6,June,23,Friday,False
2017-06-10,2017,2,6,June,23,Saturday,True
